"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Neurofeedback Attentional Enhancement Approach Based on Virtual Reality","K. Lu; K. Yueh; H. Hu; M. Guo; Y. Liu","Beijing Engineering Research Center of Mixed Reality and Advanced Display, School of Optics and Photonics, Beijing Institute of Techonology, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, School of Optics and Photonics, Beijing Institute of Techonology, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, School of Optics and Photonics, Beijing Institute of Techonology, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, School of Optics and Photonics, Beijing Institute of Techonology, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, School of Optics and Photonics, Beijing Institute of Techonology, China","2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","8 Sep 2022","2022","","","5140","5143","Attention enhancement can not only improve individual's study and work performance, but also help to improve such psychological problems as anxiety and depression. Traditional attention enhancement approaches have high requirements on the external environment, and thus have such limitations as long intervention periods, high costs, poor universality, and insignificant therapeutic effects. Virtual Reality (VR) can provide interactive and immersive environments, which can help to break through these limitations and effectively enhance users' attention. In this paper, we propose a novel neurofeedback attentional enhancement approach based on VR. The proposed approach utilizes the $\alpha$ band power in the parieto-occipital regions of the brain as an neurofeedback index of the users' attention, and prompts users by changing the attributes of the VR environment. Statistical results show that the $\alpha$ band power reduces significantly in neurofeedback group compared with that in control group. Accordingly, task performances in neruofeedback group are improved by 6.44% compared with those of control group. Our results provided evidence for the effectiveness of neurofeedback on VR training environment.","2694-0604","978-1-7281-2782-8","10.1109/EMBC48229.2022.9871019","National Natural Science Foundation of China(grant numbers:61960206007); Key-Area Research and Development Program of Guangdong Province(grant numbers:2019B010149001); 111 Project(grant numbers:B18005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9871019","","Training;Costs;Anxiety disorders;Psychology;Virtual reality;Depression;Biology","brain;medical computing;neurophysiology;paediatrics;patient treatment;psychology;virtual reality","external environment;long intervention periods;poor universality;insignificant therapeutic effects;virtual reality;interactive environments;immersive environments;users;novel neurofeedback;enhancement approach;$\alpha$ band power;neurofeedback index;VR environment;neurofeedback group;control group;task performances;VR training environment;individual;psychological problems;anxiety;depression;traditional attention enhancement approaches","Anxiety Disorders;Attention;Humans;Neurofeedback;Occipital Lobe;Virtual Reality","","","19","IEEE","8 Sep 2022","","","IEEE","IEEE Conferences"
"iFeel3: A Haptic Device for Virtual Reality Dental Surgery Simulation","C. Li; D. Wang; Y. Zhang","State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China","2011 International Conference on Virtual Reality and Visualization","1 Dec 2011","2011","","","179","184","The haptic device plays an important role in improving the immersion of a dental training system. Most existing dental simulation systems use commercial haptic devices which are not designed for meeting specific characteristics of dental operation. Furthermore, few study on the quantified requirement for haptic device in dental surgery simulation is carried out. In this paper, performance specifications of a haptic device for dental training are presented through analyzing the manipulation features of typical dental surgery. Based on identified requirements, a haptic device (i.e. iFeel3) was designed. Typical performances including workspace, output force and translational resolution, are analyzed. Furthermore the method of improving the haptic device's stiffness is presented. The performance of the introduced device is validated by dental probing experiments.","","978-1-4577-2156-4","10.1109/ICVRV.2011.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6092710","haptic device;dental surgery;performance specifications;workspace;stiffness","Dentistry;Force;Haptic interfaces;Surgery;Training;Torque;Performance evaluation","dentistry;digital simulation;haptic interfaces;medical computing;surgery;virtual reality","iFeel3;haptic device;virtual reality dental surgery simulation;dental training system;dental simulation systems;dental operation","","3","","16","IEEE","1 Dec 2011","","","IEEE","IEEE Conferences"
"Engineering and scientific curriculum issues of including nanotechnology, robotics, life extension and virtual reality in basic requirements","D. Han; K. Naimipour; A. Chen","Northeastern Illinois University, USA; Northeastern Illinois University, USA; Northeastern Illinois University, USA","Proceedings of IEEE Frontiers in Education Conference - FIE '93","6 Aug 2002","1993","","","822","","It is argued that the existing engineering curriculum does not adequately prepare students to confront the technological changes of the 21st century. Accordingly, it is proposed that nanotechnology, robotics, life-extension, and virtual reality be included in the curriculum. It is concluded that the proposed additions to the current curriculum can create an educational environment for future engineers and scientists.<>","0190-5848","0-7803-1482-4","10.1109/FIE.1993.405404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=405404","","Nanotechnology;Robots;Virtual reality;Aerospace engineering;Design engineering;Automotive engineering;Mathematics;Education;Humans;Costs","engineering education;educational courses;nanotechnology;virtual reality;robots;teaching;control engineering education;computer science education;engineering computing","education;courses;scientific curriculum;life extension;virtual reality;engineering curriculum;students;technological changes;nanotechnology;robotics","","1","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"VR panoramic video technology and its application in rail transit personnel training in the 5G era","Z. Shen; J. Zou; W. Chen; X. An","Faculty of Railway Transportation, Shanghai Institute of Technology, Shanghai, China; Faculty of Railway Transportation, Shanghai Institute of Technology, Shanghai, China; Faculty of Railway Transportation, Shanghai Institute of Technology, Shanghai, China; Faculty of Railway Transportation, Shanghai Institute of Technology, Shanghai, China","2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)","13 May 2021","2020","","","2369","2373","VR (Virtual Reality, virtual reality) panoramic video technology is supported by 5G high-speed, low-latency, and large-capacity. The application industry scenarios are more diversified, and it is more prominent in rail transit personnel training. This article first gives an overview of panoramic video technology and explains the classification of VR panoramic video. Secondly, it introduces the network requirements of two kinds of VR panoramic video, and combined with the particularity of the rail transit industry, it focuses on the analysis of online on- demand methods. Finally, it is concluded that the bandwidth and time delay of the current network cannot satisfy the virtual experience above the excellent experience, and only the 5G network is more suitable. Combined with relevant VR technology training cases, it is found that the driving, maintenance, debugging and design of vehicles are equally applicable, to adapt the better needs of contemporary industry development.","","978-1-6654-2314-4","10.1109/ICMCCE51767.2020.00512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421459","Virtual reality (VR);Panoramic video technology;5G;Bandwidth;Time delay","Industries;Training;Rails;5G mobile communication;Virtual reality;Bandwidth;Maintenance engineering","5G mobile communication;computer based training;continuing professional development;image classification;personnel;rail traffic;railways;video signal processing;virtual reality","rail transit industry;virtual experience;VR panoramic video technology;rail transit personnel training;virtual reality;5G high-speed;application industry scenarios;VR technology training;5G era;VR panoramic video classification;network requirements;online on-demand methods;network bandwidth;time delay;5G network;industry development","","1","","16","IEEE","13 May 2021","","","IEEE","IEEE Conferences"
"A fun-learning approach to programming: An adaptive Virtual Reality (VR) platform to teach programming to engineering students","M. Chandramouli; M. Zahraee; C. Winer",Purdue University Calumet; Purdue University Calumet; Purdue University Calumet,"IEEE International Conference on Electro/Information Technology","7 Aug 2014","2014","","","581","586","This study explains the design and implementation of a Virtual Reality (VR) framework for `fun-based' interactive programming instruction in engineering education courses. Students continue to face several difficulties when learning programming [1] and the lack of efficient tools to overcome such difficulties can affect the students' motivation [2]. Over time, this creates a drastic and negative impact in their attitude towards `learning programming,' which is undesirable for student success in engineering education. To rectify this, a suitable approach that can motivate students needs to be developed to change students' mindset towards learning programming. Student motivation is considered imperative as it is directly influences a student's perseverance and dedication towards accomplishing an objective [3]. Rather than viewing programming courses as a means to complete coursework requirements, students should be made to realize the `power of programming.' Learning and gaining experience in computer programming necessarily involves the development of computational/critical thinking and problem solving skills. All these skills sharpen the minds of the students while simultaneously opening up multiple job prospects for them upon graduation. To this end, to facilitate interactive and fun-filled learning, this research employs a learner-centric, user-friendly Virtual Environment (VE) to teach programming concepts. In doing so, this research aims to make a paradigm shift in the `approach to teaching and learning programming.'","2154-0373","978-1-4799-4774-4","10.1109/EIT.2014.6871829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6871829","programming instruction;desktop virtual reality;interactive visualization;engineering education","Programming profession;Education;Three-dimensional displays;Solid modeling;Visualization;Problem-solving","computer aided instruction;computer science education;educational courses;engineering education;teaching;virtual reality","fun-learning approach;adaptive virtual reality platform;VR;engineering students;fun-based interactive programming instruction;engineering education courses;programming courses;computer programming;computational-critical thinking;problem solving skills;job prospects;graduation;learner-centric user-friendly virtual environment;VE;programming concepts","","17","","25","IEEE","7 Aug 2014","","","IEEE","IEEE Conferences"
"Virtual Reality Technology and Its Application in Prevention of Coal and Gas Outburst","H. -l. Gao; S. Liu","Sch. of Energy & Environ. Eng., Zhongyuan Univ. of Technol., Zhengzhou, China; Zhongyuan University of Technology","2009 Second International Conference on Information and Computing Science","21 Jul 2009","2009","2","","110","113","This paper discussed the application of virtual reality technology and its application on prevention of coal and gas outburst in coal mine. With the help of virtual reality technology, the vivid and process of coal and gas outburst in coal mine could be obtained. The application of virtual reality technology on prevention of coal and gas outburst included development such as system requirements, data preparation and organization, the configuration for virtual reality software and the custom of the client are discussed. The study and development of virtual reality technology were much important to relieve the catastrophic accident. The problems existing in prevention of coal and gas outburst was pointed out and corresponding countermeasures were put forward.","2160-7451","978-0-7695-3634-7","10.1109/ICIC.2009.136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5169020","virtual reality technology;coal and gas outburst;data preparation and organization;coal mine safety","Virtual reality;Safety;Space technology;Paper technology;Production;Application software;Accidents;Educational technology;Testing;Costs","coal;mining industry;production engineering computing;safety;virtual reality","virtual reality software;gas outburst;coal outburst;mining processing","","2","","11","IEEE","21 Jul 2009","","","IEEE","IEEE Conferences"
"Virtual reality applications in manufacturing system","N. S. S. Hamid; F. A. Aziz; A. Azizi","Air Traffic Sector, Department of Civil Aviation Malaysia, 62618, Federal Territory of Putrajaya, Putrajaya, Malaysia; Air Traffic Sector, Department of Civil Aviation Malaysia, Putrajaya, Malaysia; Air Traffic Sector, Department of Civil Aviation Malaysia, Putrajaya, Malaysia","2014 Science and Information Conference","9 Oct 2014","2014","","","1034","1037","Virtual reality (VR) is a high-end human computer interface that strives to immerse the designers and users completely in a virtual interactive environment for a simulation of real world. In order to meet the requirements of market competition, VR technologies can not only reduce effectively the time and cost, but also optimize complex products in the design process. Virtual reality is a rapidly developing computer interface that strives to immerse the user completely within an experimental simulation, thereby enhancing the overall impact and providing a much more intuitive link between the computer and the human participants. Virtual reality has been applied successfully to hundreds of scenarios in diverse areas including prototyping, manufacturing, scientific visualisation, engineering, and education. This paper discusses the applications of virtual reality in the manufacturing industry.","","978-0-9893193-1-7","10.1109/SAI.2014.6918317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918317","Virtual Reality;Virtual Manufacturing;Simulation","Solid modeling;Virtual reality;Assembly;Virtual manufacturing;Planning;Computational modeling","human computer interaction;manufacturing industries;manufacturing systems;product design;user interfaces;virtual manufacturing;virtual reality","high-end human computer interface;virtual interactive environment;market competition;VR technologies;complex product technologies;product design process;human participants;scientific visualisation;manufacturing industry;virtual reality applications","","14","","27","","9 Oct 2014","","","IEEE","IEEE Conferences"
"Developing a virtual reality interface for an integrated project database environment","G. Aouad; T. Child; F. Marir; P. Brandon","Department of Surveying, University of Sanford, Salford, UK; Department of Surveying, University of Sanford, Salford, UK; Department of Surveying, University of Sanford, Salford, UK; Department of Surveying, University of Sanford, Salford, UK","Proceedings. 1997 IEEE Conference on Information Visualization (Cat. No.97TB100165)","6 Aug 2002","1997","","","192","197","Explores the potential of using virtual reality (VR) as an interface for an integrated project database using the World Wide Web. VRML (Virtual Reality Modelling Language), which is a Web-based standard, is explored as a means of remotely interrogating information stored within an integrated database. VRML allows the creation of 3D views and worlds which can be explored in real time. This paper describes the steps taken to link the OSCON integrated database to a VRML environment. It addresses the issue of using VR as the medium for the remote accessing of information within an integrated environment. For instance, site engineers can query the database from their sites if they have access to a modem and the Internet. Technologies are now available which can be used to this end. The Internet and its facilities should be exploited for the benefits of better management and retrieval of construction information. VR has often been looked on as a visualisation tool. This paper puts the argument that VR should be used as a user interface. For instance, the user should interact with a 3D column in VR rather than a column in a traditional database environment. This allows the construction practitioners better access to information which will motivate them to use integrated databases. In addition, VR should be used as a vehicle for classifying information. The user should be able to look at the design, costing, time planning and facilities management views according to his/her requirements. This may prove helpful in projecting information from a project integrated database.","1093-9547","0-8186-8076-8","10.1109/IV.1997.626513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=626513","","Virtual reality;Internet;Web sites;Data engineering;Modems;Information retrieval;Visualization;User interfaces;Visual databases;Vehicles","project engineering;building;civil engineering computing;virtual reality;graphical user interfaces;query processing;engineering information systems;Internet;simulation languages;data visualisation;object-oriented databases;engineering graphics","virtual reality interface;integrated project database environment;World Wide Web;VRML;Virtual Reality Modelling Language;remote interrogation;real-time exploration;OSCON integrated database;remote access;site engineers;database querying;Internet;construction information management;data visualisation;user interface;information classification;design;costing;time planning;facilities management;construction information retrieval","","3","2","14","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Virtual reality and augmented reality in aircraft design and manufacturing","D. W. Mizell","Research & Technology Organization, Boeing Computer Services, Inc., Seattle, WA, USA","Proceedings of WESCON '94","6 Aug 2002","1994","","","91","","Summary form only given. The author is working on two research projects in Boeing Computer Services that have to do with virtual reality technology. The first involves importing aircraft CAD data into a VR environment. Applications include a side range of engineering and design activities, all of which involve being able to view and interact with the CAD geometry as if one were inside an actual physical mockup of the aircraft. He refers to the technology being explored in the second project as ""Augmented Reality"". This entails the use of a see-through head-mounted display with an optical focal length of about 20 inches, along with VR-style position/orientation sensing system. The intended application area is in touch labor manufacturing: superimposing diagrams or text onto the surface of a workpiece and stabilizing it there on specific coordinates, so that the appropriate information needed by a factory worker for each step of a manufacturing or assembly operation appears on the surface of the workpiece as if it were painted there. The hardest technical problem for augmented reality is position tracking. Long-range head position/orientation sensing systems that can operate in factory environments are needed. This requirement and others give rise to some interesting computational problems, including wearer registration and position sensing using image processing.<>","1095-791X","0-7803-9992-7","10.1109/WESCON.1994.403622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=403622","","Virtual reality;Augmented reality;Aircraft propulsion;Design automation;Manufacturing;Production facilities;Application software;Aerospace engineering;Design engineering;Geometrical optics","virtual reality;aerospace computing;engineering graphics;manufacture;aircraft;CAD","virtual reality technology;aircraft design;aircraft manufacturing;research projects;Boeing Computer Services;aircraft CAD data;CAD geometry;augmented reality;head-mounted display;position/orientation sensing system;touch labor manufacturing;position tracking;factory environments","","15","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Design of Vehicle Engineering Teaching System Based on VR Technology","X. Sun; X. Wang; X. Wang","School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, Jiangsu Province, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, Jiangsu Province, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, Jiangsu Province, China","2021 5th Asian Conference on Artificial Intelligence Technology (ACAIT)","14 Mar 2022","2021","","","414","418","In order to effectively combine the theoretical knowledge and practical ability of students majored in vehicle engineering, this research designed the vehicle engineering teaching course VR system by combining VR technology with the domestic and foreign vehicle engineering teaching content and outline requirements. At the same time, the study completed the design of the vehicle engineering teaching system based on VR technology by recording the student’s learning process, and combining the students’ feedback on the VR teaching system to upgrade and optimize. The results show that in the specific use level of VR teaching system, it can effectively enhance students’ interest in learning, enhance students’ attention and curiosity in learning, help students divide the key points of knowledge, improve students’ learning plan and motivation. And the use of VR teaching system can accelerate students’ understanding of knowledge learning and enrich the teaching content. Finally, students are full of expectations for the application of VR teaching, and can obtain learning happiness in VR teaching. It is hoped that the results of this research can provide useful thinking and practical reference for the design of VR teaching system in the future.","","978-1-6654-2630-5","10.1109/ACAIT53529.2021.9730892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730892","VR technology;vehicle engineering;teaching plan;system design","Knowledge engineering;Education;Virtual reality;Engineering students","automotive engineering;computer aided instruction;educational courses;engineering education;further education;human factors;mechanical engineering computing;teaching;virtual reality","VR teaching system;student feedback;vehicle engineering teaching course VR system;domestic vehicle engineering teaching content;foreign vehicle engineering teaching content;student attention;vehicle engineering teaching system design;student curiosity;student learning plan;student motivation;outline requirements","","","","17","IEEE","14 Mar 2022","","","IEEE","IEEE Conferences"
"Research of Creating and Fetching 3D Models of Virtual Reality Based on OpenGL","T. Dai; Z. Wang; S. Xu","School of Mechatronics Engineering, University of Electronic Science and Technology, Chengdu, Sichuan, China; Department of Technique, Xichang Satellite Launch Center, Xichang, Sichuan, China; Department of Technique, Xichang Satellite Launch Center, Xichang, Sichuan, China","2006 International Conference on Mechatronics and Automation","11 Dec 2006","2006","","","1991","1995","In the graphic developing environment based on OpenGL, it is difficult to create complicated 3D models by encoding; meanwhile, professional 3D modeling softwares can't meet the requirement of interactivity of a VR system. Based on the comparison between three 3D modeling methods in OpenGL, a new method is put forward, that is, to create complicated models by using 3DSMax, and have the model files exported to 3DS-format and fetched in OpenGL in which real-time rendering effects is attainable. After analysing 3DS file data structure, an arithmetic is put forward of how to read 3DS files in OpenGL, so that, both advantages of 3D modeling by 3DSMax software and real-time rendering in OpenGL are combined together. This method has been used in a virtual reality system of a certain type of launch vehicle successfully, and its correctness and serviceability have been validated practically","2152-744X","1-4244-0465-7","10.1109/ICMA.2006.257560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4026401","virtual reality (VR);3DSMax;OpenGL;3D modeling;fetch","Virtual reality;Computer graphics;Layout;Solid modeling;Encoding;Software libraries;Internet;Military computing;Mechatronics;Rendering (computer graphics)","application program interfaces;rendering (computer graphics);space vehicles;specification languages;virtual reality","virtual reality;OpenGL;3D modeling softwares;3DSMax;real-time rendering;launch vehicle","","10","","15","IEEE","11 Dec 2006","","","IEEE","IEEE Conferences"
"Crime Scene Testimony in Virtual Reality Applicability Assessment","J. Sevcik; M. Adamek; V. Mach","Faculty of Applied Informatics, Tomas Bata Unversity in Zlin, Zlin, Czech Republic; Faculty of Applied Informatics, Tomas Bata Unversity in Zlin, Zlin, Czech Republic; Faculty of Applied Informatics, Tomas Bata Unversity in Zlin, Zlin, Czech Republic","2022 26th International Conference on Circuits, Systems, Communications and Computers (CSCC)","23 Jan 2023","2022","","","6","10","3D reconstruction represents sophisticated approach to crime scene documentation and farther forensic analysis; however, quality of results is strictly depended on source data. This article identifies feasibility limits and defines critical requirements for crime scene 3D reconstruction. An evaluation triangle is proposed to realize method applicability assessment. Moreover, individual factors influencing the feasibility were described in detail and their mutual relationship has been formulated. A crime scene testimony in virtual reality workflow was provided to visualize individual process relation.","","978-1-6654-8186-1","10.1109/CSCC55931.2022.00010","European Regional Development Fund(grant numbers:CEBIA-Tech ED2.1.00/03.0089,VJ02010043); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017721","crime scene;3D reconstruction;applicability assessment;virtual reality;forensic analysis;testimony","Computers;Three-dimensional displays;Forensics;Data visualization;Virtual reality;Documentation","image reconstruction;police data processing;virtual reality","crime scene 3D reconstruction;crime scene documentation;crime scene testimony;critical requirements;defines critical requirements;feasibility limits;method applicability assessment;source data;virtual reality applicability assessment;virtual reality workflow","","","","20","IEEE","23 Jan 2023","","","IEEE","IEEE Conferences"
"Advanced interface into network management workstations","P. Rea; S. Whalley","BT Laboratories, Ipswich, UK; BT Laboratories, Ipswich, UK","IEE Colloquium on Distributed Virtual Reality","6 Aug 2002","1993","","","7/1","7/3","From a telecommunications perspective, VR (virtual reality) is likely to have a major impact in two principle areas. The first area is the obvious one of using VR based services on telecommunications networks. The second area, which is discussed, is the use of VR for conceptualising complex systems and structures, in particular using VR for the visualisation of telecommunication networks. The authors identify an important application domain-network management-that will benefit by the use of VR techniques. There is a major leap between developing systems which act as proof of concept demonstrators and systems which are robust enough to handle the requirements of a real control system, although the authors are progressing the ideas towards the state whereby they can be used practically, both for managing distributed systems and being used by geographically disparate users.<>","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=243231","","Communication system operations and management;Communication system software;User interfaces;Virtual reality","telecommunication network management;telecommunications computing;user interfaces;virtual reality","virtual reality;network management workstations;telecommunications perspective;VR based services;telecommunications networks;complex systems;visualisation;application domain;VR techniques;real control system;geographically disparate users","","","3","","","6 Aug 2002","","","IET","IET Conferences"
"Study on container terminal virtual reality system based on component technology","Yijun Chen; Daofang Chang; Weijian Mi; Houjun Lu","Container Supply Chain Engineering Research Center, Ministry of Education, Shanghai, China; Container Supply Chain Engineering Research Center, Ministry of Education, Shanghai, China; Container Supply Chain Engineering Research Center, Ministry of Education, Shanghai, China; Container Supply Chain Engineering Research Center, Ministry of Education, Shanghai, China","2010 2nd International Asia Conference on Informatics in Control, Automation and Robotics (CAR 2010)","29 Apr 2010","2010","1","","299","302","According to visualize logistic information and operation process of terminal, virtual reality system satisfied the requirements of intuition and visualization for studying container terminal schedule optimization. Applied component technology on fast container terminal VR system development, it is a novel idea to reduce the cost and time. With the requirements of different business flow of container terminal, it gives a reasonable partition granularity of VR components, and then designs and implements most of components, such as quay crane component and gantry crane component and truck component. Finally take the automatic container terminal VR system as an example based on the framework proposed in this paper, which illustrates how to use those components for developing a container terminal VR application fast.","1948-3422","978-1-4244-5192-0","10.1109/CAR.2010.5456842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5456842","automatic container terminal;component platform;virtual reality;partition granularity","Containers;Virtual reality;Logistics;Cranes;Computational modeling;Supply chains;Visualization;Computer simulation;Robotics and automation;Costs","containers;logistics data processing;scheduling;virtual reality","container terminal virtual reality system;component technology;logistic information visualization;container terminal schedule optimization;container terminal VR system development;partition granularity;quay crane component;gantry crane component;automatic container terminal","","5","","4","IEEE","29 Apr 2010","","","IEEE","IEEE Conferences"
"An Innovative Algorithm for Improved Quality Multipath Delivery of Virtual Reality Content","F. Silva; M. A. Togou; G. -M. Muntean","Performance Engineering Lab School of Electronic Engineering, Dublin City University, Dublin, Ireland; Performance Engineering Lab School of Electronic Engineering, Dublin City University, Dublin, Ireland; Performance Engineering Lab School of Electronic Engineering, Dublin City University, Dublin, Ireland","2020 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB)","19 Mar 2021","2020","","","1","6","This paper describes and evaluates an Innovative Algorithm for Improved Quality Multipath Delivery of Virtual Reality Content (QM4VR) that addresses the stringent communication requirements of Virtual Reality (VR) applications. Making use of the Multipath TCP (MPTCP) built-in multipath delivery features (subflows), QM4VR explores the subflows' characteristics, evaluates their performance (e.g., delay, throughput or loss) and proposes a new management scheme to improve the Quality of Service (QOS) of the VR applications. glsqm4vr adopts a Machine Learning (ML)-based approach to evaluate the subflows' performance which is implemented in two steps: 1) a linear regression scheme to forecast the subflow's performance for a given feature; and 2) a linear classification scheme to arrange the results obtained in step 1. Based on these results QM4VR selects the most appropriate subflows for data delivery in order to achieve improvement of VR QOS levels.","2155-5052","978-1-7281-5784-9","10.1109/BMSB49480.2020.9379584","Science Foundation Ireland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9379584","Multimedia networking;VR;MPTCP;QoS;prioritised content delivery","Solid modeling;Virtual reality;Quality of service;Throughput;Prediction algorithms;Telecommunications;Quality of experience","learning (artificial intelligence);quality of service;regression analysis;transport protocols;virtual reality","results QM4VR selects;data delivery;VR QOS levels;Innovative Algorithm;virtual reality content;stringent communication requirements;virtual reality applications;multipath TCP;multipath delivery features;subflows;VR applications;subflow;improved quality multipath delivery","","1","","28","IEEE","19 Mar 2021","","","IEEE","IEEE Conferences"
"A model of software development process for virtual environments: definition and a case study","T. G. Kimer; V. F. Martins","Dept. of Comput. Sci., Univ. Fed. de Sao Carlos, Brazil; Department of Computer Science, Federal University of São Carlos, Brazil","Proceedings 1999 IEEE Symposium on Application-Specific Systems and Software Engineering and Technology. ASSET'99 (Cat. No.PR00122)","6 Aug 2002","1999","","","155","161","This paper describes a software development process, especially proposed to support the creation of virtual environments and applications. This process follows an iterative approach of software development, which includes different phases, from the requirements definition to the product evaluation, each one comprising a series of activities. The software development process is presented and illustrated by a case study about a virtual environment of a historic museum. The main implementation aspects are presented in detail and the results are discussed.","","0-7695-0122-2","10.1109/ASSET.1999.756764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=756764","","Programming;Computer aided software engineering;Virtual reality;Virtual environment;Computer displays;Application software;Computer science;Identity-based encryption;Iterative methods;Navigation","software engineering;virtual reality;formal specification","software development process;virtual environments;iterative approach;requirements definition;product evaluation;historic museum;implementation aspects","","1","","10","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"On Discovering Road Traffic Information Using Virtual Reality Simulations","G. Ayres; R. Mehmood","Civil and Computational Engineering Centre, School of Engineering, Swansea University, UK; Civil and Computational Engineering Centre, School of Engineering, Swansea University, UK","2009 11th International Conference on Computer Modelling and Simulation","26 May 2009","2009","","","411","416","Transport systems play critical role in modern day economies and are prime example of highly dynamic complex systems. Current traffic monitoring systems do not provide timely and granular information which could sufficiently meet system analysis requirements. Simulation augmented with virtual reality (VR) has emerged as an important methodology to model and analyze transport systems. This paper-reports our ongoing work on developing an open source road traffic VR simulator based on microscopic and car-following models, designed using Java Monkey Engine. Subsequent to a brief literature review on traffic simulations, we give a description of the simulator design, its functionality, and the driver behaviour models used in the simulator. We then simulate few interesting traffic scenarios and analyse traffic flow,speed, occupancy and other results produced by the simulator. Finally, we conclude and outline the future work.","","978-1-4244-3771-9","10.1109/UKSIM.2009.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4809800","Road Traffic;Simulation;Virtual Reality","Traffic control;Virtual reality;Computational modeling;Analytical models;Computer simulation;Microscopy;Roads;Java;Engines;Computerized monitoring","automobiles;Java;road traffic;traffic engineering computing;transportation;virtual reality","road traffic information discovery;virtual reality simulation;road transportation system;dynamic complex system;traffic monitoring system;system analysis requirements;open-source road traffic VR simulator;microscopic model;car-following model;Java Monkey Engine;driver behaviour model","","15","","23","IEEE","26 May 2009","","","IEEE","IEEE Conferences"
"The teaching design on armored equipment major courses based on desktop virtual reality technology","J. Zhang; H. Li; T. Huang; B. Li","Control Engineering Department, Armored Force Engineering Institute, Beijing, P.R. China; Weapon Engineering Department, Armored Force Engineering Institute, Beijing, P.R. China; Control Engineering Department, Armored Force Engineering Institute, Beijing, P.R. China; The 1st Research Room, The 63961 Unit of PLA, Beijing, P.R. China","2011 IEEE International Symposium on IT in Medicine and Education","16 Jan 2012","2011","1","","638","642","In order to achieve the teaching goal such as improving students' diathesis and cultivating students' ability, and to solve the teaching problems on armored equipment major courses, this article sets forth the teaching strategy and the teaching design that meet the requirements of modernized teaching ideas, which set up the instruction situation referencing the usual training tasks of armored and mechanized army based on desktop virtual reality system to improve the learning enthusiasm of students. The thematic-teaching strategy is executed through `subject' and `situation' combined with `question', and designed on three aspects: visual cognition design, interactivity design and virtual situation learning, which are aligned with the desktop virtual reality system.","","978-1-61284-704-7","10.1109/ITiME.2011.6130919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6130919","teaching desgin;virtual reality;teaching strategy","Virtual reality;Training;Force;Software;Maintenance engineering;Multimedia communication","cognition;computer based training;courseware;military computing;teaching;virtual reality;weapons","desktop virtual reality technology;armored equipment major courses;teaching design;student diathesis;student ability cultivation;training tasks;mechanized army;thematic-teaching strategy;visual cognition design;interactivity design;virtual situation learning","","","","7","IEEE","16 Jan 2012","","","IEEE","IEEE Conferences"
