Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The SAZ project: Integrating SSADM and Z","FME '93: Industrial-Strength Formal Methods","","","","10.1007/BFb0024666","Fiona PolackMark WhistonKeith Mander","1993","http://link.springer.com/chapter/10.1007/BFb0024666","Chapter"
"A Relational Model for Object-Oriented Designs","Programming Languages and Systems","","","","10.1007/978-3-540-30477-7_28","He JifengZhiming LiuXiaoshan LiShengchao Qin","2004","http://link.springer.com/chapter/10.1007/978-3-540-30477-7_28","Chapter"
"Augmenting Pervasive Environments with an XMPP-Based Mobile Cloud Middleware","Mobile Computing, Applications, and Services","","","","10.1007/978-3-642-29336-8_25","Dejan KovachevYiwei CaoRalf Klamma","2012","http://link.springer.com/chapter/10.1007/978-3-642-29336-8_25","Chapter"
"Semantics-Supported Collaborative Creation of Interactive 3D Content","Augmented Reality, Virtual Reality, and Computer Graphics","","","","10.1007/978-3-319-60928-7_33","Krzysztof Walczak","2017","http://link.springer.com/chapter/10.1007/978-3-319-60928-7_33","Chapter"
"ARSSET: Augmented Reality Support on SET","Augmented Reality, Virtual Reality, and Computer Graphics","","","","10.1007/978-3-319-60922-5_28","Andrea SannaFabrizio LambertiFrancesco De PaceRoberto IacovielloPaola Sunna","2017","http://link.springer.com/chapter/10.1007/978-3-319-60922-5_28","Chapter"
"Service Quality Assurance in Multi-clouds","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-43177-2_6","Dana Petcu","2016","http://link.springer.com/chapter/10.1007/978-3-319-43177-2_6","Chapter"
"Requirements specifications for hybrid systems","Hybrid Systems III","","","","10.1007/BFb0020955","Constance Heitmeyer","1996","http://link.springer.com/chapter/10.1007/BFb0020955","Chapter"
"Implications for Design of Personal Mobility Devices with Balance-Based Natural User Interfaces","Human-Computer Interaction: Interaction Technologies","","","","10.1007/978-3-319-20916-6_34","Aleksander RemSuhas Govind Joshi","2015","http://link.springer.com/chapter/10.1007/978-3-319-20916-6_34","Chapter"
"Models and paradigms of interaction","Object-Based Distributed Programming","","","","10.1007/BFb0017531","Peter Wegner","1994","http://link.springer.com/chapter/10.1007/BFb0017531","Chapter"
"Remote Touch Interaction with High Quality Models Using an Autostereoscopic 3D Display","Augmented Reality, Virtual Reality, and Computer Graphics","","","","10.1007/978-3-319-60928-7_40","Adriano ManciniPaolo CliniCarlo Alberto BozziEva Savina MalinverniRoberto PierdiccaRomina Nespeca","2017","http://link.springer.com/chapter/10.1007/978-3-319-60928-7_40","Chapter"
"The Use of Geoinformation Technology, Augmented Reality and Gamification in the Urban Modeling Process","Computational Science and Its Applications – ICCSA 2016","","","","10.1007/978-3-319-42108-7_37","Miłosz GnatKatarzyna LeszekRobert Olszewski","2016","http://link.springer.com/chapter/10.1007/978-3-319-42108-7_37","Chapter"
"From Z Specifications To Functional Implementations","Z User Workshop","","","","10.1007/978-1-4471-3877-8_6","Michael JohnsonPaul Sanders","1990","http://link.springer.com/chapter/10.1007/978-1-4471-3877-8_6","Chapter"
"Synchronous Communication Media in the Software Requirements Negotiation Process","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-642-04265-2_36","Ugo ErraGiuseppe Scanniello","2009","http://link.springer.com/chapter/10.1007/978-3-642-04265-2_36","Chapter"
"A Method for Developing 3D User Interfaces of Information Systems","Computer-Aided Design of User Interfaces V","","","","10.1007/978-1-4020-5820-2_7","Juan Manuel González CallerosJean VanderdoncktJaime Muñoz Arteaga","2007","http://link.springer.com/chapter/10.1007/978-1-4020-5820-2_7","Chapter"
"Experimenting with Liveness in Cloud Infrastructure Management","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-030-40223-5_4","Pedro LourençoJoão Pedro DiasAdemar AguiarHugo Sereno FerreiraAndré Restivo","2020","http://link.springer.com/chapter/10.1007/978-3-030-40223-5_4","Chapter"
"Research on the Function Design of 5G Intelligent Network Connected Cars Based on Kano Model","HCI in Mobility, Transport, and Automotive Systems","","","","10.1007/978-3-030-78358-7_11","Zheyin YuJunnan Ye","2021","http://link.springer.com/chapter/10.1007/978-3-030-78358-7_11","Chapter"
"A Learning-Based Approach to Unit Testing of Numerical Software","Testing Software and Systems","","","","10.1007/978-3-642-16573-3_16","Karl MeinkeFei Niu","2010","http://link.springer.com/chapter/10.1007/978-3-642-16573-3_16","Chapter"
"Can We Design Software as We Talk?","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-030-49418-6_22","Marcela RuizBjörn Hasselman","2020","http://link.springer.com/chapter/10.1007/978-3-030-49418-6_22","Chapter"
"Towards Integrating Software Development and Multimedia Content Creation","Business Modeling and Software Design","","","","10.1007/978-3-030-24854-3_12","Noriko HanakawaMasaki Obana","2019","http://link.springer.com/chapter/10.1007/978-3-030-24854-3_12","Chapter"
"Bridging the Gap: Developing 2D and 3D User Interfaces with the IDEAS Methodology","Interactive Systems. Design, Specification, and Verification","","","","10.1007/978-3-540-39929-2_21","José Pascual MolinaPascual GonzálezM. Dolores LozanoFrancisco MonteroVíctor López-Jaquero","2003","http://link.springer.com/chapter/10.1007/978-3-540-39929-2_21","Chapter"
"A Portal-Based Tool for Developing, Delivering and Working with Guidelines","Universal Acess in Human Computer Interaction. Coping with Diversity","","","","10.1007/978-3-540-73279-2_57","Nikolaos PartarakisAlexandros MourouzisConstantina DoulgerakiConstantine Stephanidis","2007","http://link.springer.com/chapter/10.1007/978-3-540-73279-2_57","Chapter"
"Adopting Open Source for Mission-Critical Applications: A Case Study on Single Sign-On","Open Source Systems","","","","10.1007/0-387-34226-5_21","Claudio Agostino ArdagnaErnesto DamianiFulvio FratiSalvatore Reale","2006","http://link.springer.com/chapter/10.1007/0-387-34226-5_21","Chapter"
"Using Yourdon and Z : an Approach to Formal Specification","Z User Workshop, Oxford 1990","","","","10.1007/978-1-4471-3540-1_15","Lesley SemmensPat Allen","1991","http://link.springer.com/chapter/10.1007/978-1-4471-3540-1_15","Chapter"
"Facilitating the Specification Capture and Transformation Process in the Development of Multi-agent Systems","Formal Approaches to Agent-Based Systems","","","","10.1007/978-3-540-30960-4_6","Aluízio Haendchen FilhoNuno CaminadaEdward Hermann HaeuslerArndt von Staa","2005","http://link.springer.com/chapter/10.1007/978-3-540-30960-4_6","Chapter"
"Development of a Digital Platform Based on the Integration of Augmented Reality and BIM for the Management of Information in Construction Processes","Product Lifecycle Management to Support Industry 4.0","","","","10.1007/978-3-030-01614-2_5","Alice SchweigkoflerGabriele Pasetti MonizzaErdal DomiAndrei PopescuJulia RatajczakCarmen MarcherMichael RiedlDominik Matt","2018","http://link.springer.com/chapter/10.1007/978-3-030-01614-2_5","Chapter"
"The MERLIN Approach to the Re-use of Software Components","Software Re-use, Utrecht 1989","","","","10.1007/978-1-4471-3536-4_6","Joachim CramerHeike HünnekensWilhelm SchäferStefan Wolf","1991","http://link.springer.com/chapter/10.1007/978-1-4471-3536-4_6","Chapter"
"Future Challenges of Model-Based Design","Interactive Systems. Design, Specification, and Verification","","","","10.1007/11752707_22","Sandra BasnyatJoan De BoeckErwin CuppensLeonel NóbregaFrancisco MonteroFabio PaternòKevin Schneider","2006","http://link.springer.com/chapter/10.1007/11752707_22","Chapter"
"Assuring Confidence in Pharmaceutical Software","Safety and Reliability of Software Based Systems","","","","10.1007/978-1-4471-0921-1_7","Dr Guy WingateMartin SmithPaul Lucas","1997","http://link.springer.com/chapter/10.1007/978-1-4471-0921-1_7","Chapter"
"Model-Based Product Configuration in Augmented Reality Applications","Human-Centered Software Engineering","","","","10.1007/978-3-030-64266-2_5","Sebastian GottschalkEnes YigitbasEugen SchmidtGregor Engels","2020","http://link.springer.com/chapter/10.1007/978-3-030-64266-2_5","Chapter"
"Verifying Temporal Properties of Use-Cases in Natural Language","Formal Aspects of Component Software","","","","10.1007/978-3-642-35743-5_21","Viliam SimkoDavid HauzarTomas BuresPetr HnetynkaFrantisek Plasil","2012","http://link.springer.com/chapter/10.1007/978-3-642-35743-5_21","Chapter"
"Data, Context, Situation: On the Usefulness of Semantic Layers for Designing Context-Aware Systems","Software and Data Technologies","","","","10.1007/978-3-642-45404-2_1","Daniela NicklasNils Koppaetzky","2013","http://link.springer.com/chapter/10.1007/978-3-642-45404-2_1","Chapter"
"Affective Haptics Research and Interaction Design","Design, User Experience, and Usability. User Experience in Advanced Technological Environments","","","","10.1007/978-3-030-23541-3_11","Yang JiaoYingqing XuXiaobo Lu","2019","http://link.springer.com/chapter/10.1007/978-3-030-23541-3_11","Chapter"
"Research on Robot Interaction Design Based on Embodied and Disembodied Interaction Grammars","Design, User Experience, and Usability. User Experience in Advanced Technological Environments","","","","10.1007/978-3-030-23541-3_20","Jingyan QinXinghui LuYanlin AnZeyu HaoDaisong GuanMoli ZhouShiyan Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-23541-3_20","Chapter"
"Managing Disclosure of Personal Health Information in Smart Home Healthcare","Universal Access in Human-Computer Interaction. Ambient Interaction","","","","10.1007/978-3-540-73281-5_20","Umar RashidHedda SchmidtkeWoontack Woo","2007","http://link.springer.com/chapter/10.1007/978-3-540-73281-5_20","Chapter"
"Development and Evaluation of a Motion-Based Exercise Game for Balance Improvement","Information and Communication Technologies for Ageing Well and e-Health","","","","10.1007/978-3-030-52677-1_7","Michalis ChartomatsidisChristos Goumopoulos","2020","http://link.springer.com/chapter/10.1007/978-3-030-52677-1_7","Chapter"
"Participatory Design Meets Mixed Reality Design Models","Computer-Aided Design of User Interfaces V","","","","10.1007/978-1-4020-5820-2_6","Emmanuel DuboisGuillaume GauffreCédric BachPascal Salembier","2007","http://link.springer.com/chapter/10.1007/978-1-4020-5820-2_6","Chapter"
"Correctness of Software — An Overview","The Use of Formal Specification of Software","","","","10.1007/978-3-642-67881-3_7","H. K. BergW. R. FrantaT. G. Moher","1980","http://link.springer.com/chapter/10.1007/978-3-642-67881-3_7","Chapter"
"An OpenStack-Based Implementation of a Volunteer Cloud","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-33313-7_30","Salvatore DistefanoGiovanni MerlinoAntonio Puliafito","2016","http://link.springer.com/chapter/10.1007/978-3-319-33313-7_30","Chapter"
"Return to Activities of Daily Life: Physiotherapy Rehabilitation with Serious Game","Ambient Assisted Living and Active Aging","","","","10.1007/978-3-319-03092-0_9","Juan Manuel González-CallerosSergio Arturo Arzola-HerreraJosefina Guerrero-GarcíaEtelvina Archundia-SierraJaime Muñoz-Arteaga","2013","http://link.springer.com/chapter/10.1007/978-3-319-03092-0_9","Chapter"
"An Agent Oriented Development Process for Multimedia Systems,","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-642-45422-6_9","Alma M. Gómez-RodríguezJuan Carlos González-MorenoDavid Ramos-ValcárcelFrancisco Javier Rodriguez-Martinez","2013","http://link.springer.com/chapter/10.1007/978-3-642-45422-6_9","Chapter"
"The CORES project","Computers for Handicapped Persons","","","","10.1007/3-540-58476-5_174","P. A. CuddM. FreemanR. B. YatesA. J. WilsonM. P. CookeM. S. Hawley","1994","http://link.springer.com/chapter/10.1007/3-540-58476-5_174","Chapter"
"User Interface Patterns for Multimodal Interaction","Transactions on Pattern Languages of Programming III","","","","10.1007/978-3-642-38676-3_4","Andreas Ratzka","2013","http://link.springer.com/chapter/10.1007/978-3-642-38676-3_4","Chapter"
"An Empirical Study of the Component Dependency Resolution Search Space","Component-Based Software Engineering","","","","10.1007/978-3-642-13238-4_11","Graham JensonJens DietrichHans W. Guesgen","2010","http://link.springer.com/chapter/10.1007/978-3-642-13238-4_11","Chapter"
"Structured Specifications: Syntax, Semantics and Proof Calculus","Logic and Algebra of Specification","","","","10.1007/978-3-642-58041-3_11","Martin Wirsing","1993","http://link.springer.com/chapter/10.1007/978-3-642-58041-3_11","Chapter"
"Foundations for the Run-Time Monitoring of Reactive Systems – Fundamentals of the MaC Language","Theoretical Aspects of Computing - ICTAC 2004","","","","10.1007/978-3-540-31862-0_38","Mahesh ViswanathanMoonzoo Kim","2005","http://link.springer.com/chapter/10.1007/978-3-540-31862-0_38","Chapter"
"Learning-Based Software Testing: A Tutorial","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-642-34781-8_16","Karl MeinkeF. NiuM. Sindhu","2012","http://link.springer.com/chapter/10.1007/978-3-642-34781-8_16","Chapter"
"Formal methods and social context in software development","TAPSOFT '95: Theory and Practice of Software Development","","","","10.1007/3-540-59293-8_187","Joseph A. GoguenLuqi","1995","http://link.springer.com/chapter/10.1007/3-540-59293-8_187","Chapter"
"From duration calculus to linear hybrid automata","Computer Aided Verification","","","","10.1007/3-540-60045-0_51","Ahmed BouajjaniYassine LakhnechRiadh Robbana","1995","http://link.springer.com/chapter/10.1007/3-540-60045-0_51","Chapter"
"Temporal Patterns for Complex Interaction Design","Interactive Systems: Design, Specification, and Verification","","","","10.1007/3-540-45522-1_7","Min DuDavid England","2001","http://link.springer.com/chapter/10.1007/3-540-45522-1_7","Chapter"
"Expanding Tracing Capabilities Using Dynamic Tracing Data","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-030-40223-5_16","Dennis ZiegenhagenAndreas SpeckElke Pulvermueller","2020","http://link.springer.com/chapter/10.1007/978-3-030-40223-5_16","Chapter"
"High-Integrity Systems Development for Integrated Modular Avionics Using VxWorks and GNAT","Reliable Software Technologies — Ada-Europe 2002","","","","10.1007/3-540-48046-3_13","Paul ParkinsonFranco Gasperoni","2002","http://link.springer.com/chapter/10.1007/3-540-48046-3_13","Chapter"
"Theory of Interaction, Insertion Modeling, and Cognitive Architectures","Information and Communication Technologies in Education, Research, and Industrial Applications","","","","10.1007/978-3-319-03998-5_2","Alexander Letichevsky","2013","http://link.springer.com/chapter/10.1007/978-3-319-03998-5_2","Chapter"
"Wearable Computers IN the Operating Room Environment","Human-Computer Interaction. Interaction Platforms and Techniques","","","","10.1007/978-3-540-73107-8_128","Qi MaPeter WellerGerlinde ManderslootArjuna WeerasingheDarren Morrow","2007","http://link.springer.com/chapter/10.1007/978-3-540-73107-8_128","Chapter"
"Research on the Design Principles for Intelligent Products","Design, User Experience, and Usability. Design Philosophy and Theory","","","","10.1007/978-3-030-23570-3_26","Jiarui WangYan YanLiqun Zhang","2019","http://link.springer.com/chapter/10.1007/978-3-030-23570-3_26","Chapter"
"Designing an Ergonomic Computer Console on the Ship","Human-Computer Interaction. HCI Applications and Services","","","","10.1007/978-3-540-73111-5_71","Chiuhsiang Joe LinYung-Tsan JouChih-Wei YangChun-Lang HuangTse-Jung ChenMing-Zhe Tsai","2007","http://link.springer.com/chapter/10.1007/978-3-540-73111-5_71","Chapter"
"Designing for Cultural Connections","HCI International 2011 – Posters’ Extended Abstracts","","","","10.1007/978-3-642-22098-2_48","Anicia PetersBritta MenneckeJosé CamouKiraz Candan HerdemLei Zhang","2011","http://link.springer.com/chapter/10.1007/978-3-642-22098-2_48","Chapter"
"Re-deploying Microservices in Edge and Cloud Environment for the Optimization of User-Perceived Service Quality","Service-Oriented Computing","","","","10.1007/978-3-030-33702-5_42","Xiang HeZhiying TuXiaofei XuZhongjie Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-33702-5_42","Chapter"
"Adapting the UML to Business Modelling’s Needs—Experiences in Situational Method Engineering","≪UML≫ 2002 — The Unified Modeling Language","","","","10.1007/3-540-45800-X_7","Andreas Dietzsch","2002","http://link.springer.com/chapter/10.1007/3-540-45800-X_7","Chapter"
"Assembly techniques for method engineering","Advanced Information Systems Engineering","","","","10.1007/BFb0054236","Sjaak BrinkkemperMotoshi SaekiFrank Harmsen","1998","http://link.springer.com/chapter/10.1007/BFb0054236","Chapter"
"A Study on Experiment Teaching of Logistics Engineering","Information and Management Engineering","","","","10.1007/978-3-642-24022-5_34","Liu Xu-yangLiang Jing","2011","http://link.springer.com/chapter/10.1007/978-3-642-24022-5_34","Chapter"
"Collaboration Driven Requirements for a Product-Service Engineering Platform","Collaboration in a Hyperconnected World","","","","10.1007/978-3-319-45390-3_29","Tapani RyynänenIris KarvonenHeidi KorhonenKim Jansson","2016","http://link.springer.com/chapter/10.1007/978-3-319-45390-3_29","Chapter"
"What is an Abstract Data Type, after all?","Recent Trends in Data Type Specification","","","","10.1007/BFb0014447","Martin GogollaMaura Cerioli","1995","http://link.springer.com/chapter/10.1007/BFb0014447","Chapter"
"Using Mobile Devices to Improve the Interactive Experience of Visitors in Art Museums","Human-Computer Interaction. Interaction Platforms and Techniques","","","","10.1007/978-3-540-73107-8_31","J. A. GalludM. LozanoR. TesorieroV. M. R. Penichet","2007","http://link.springer.com/chapter/10.1007/978-3-540-73107-8_31","Chapter"
"Ontology-Based Decision Support Systems for Health Data Management to Support Collaboration in Ambient Assisted Living and Work Reintegration","Collaboration in a Data-Rich World","","","","10.1007/978-3-319-65151-4_32","Daniele Spoladore","2017","http://link.springer.com/chapter/10.1007/978-3-319-65151-4_32","Chapter"
"The Digital Twin as a Knowledge-Based Engineering Enabler for Product Development","Boosting Collaborative Networks 4.0","","","","10.1007/978-3-030-62412-5_37","Miguel AzevedoSérgio TavaresAntónio Lucas Soares","2020","http://link.springer.com/chapter/10.1007/978-3-030-62412-5_37","Chapter"
"Designing a Free Style, Indirect, and Interactive Storytelling Application for People with Aphasia","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74796-3_21","Elke DaemenPavan DadlaniJia DuYing LiPinar Erik-PakerJean-Bernard MartensBoris de Ruyter","2007","http://link.springer.com/chapter/10.1007/978-3-540-74796-3_21","Chapter"
"A Framework for Enhancing the Safety Process for Advanced Robotic Applications","Achievement and Assurance of Safety","","","","10.1007/978-1-4471-3003-1_9","John ElliottSteve BrooksPeter HughesNik Kanuritch","1995","http://link.springer.com/chapter/10.1007/978-1-4471-3003-1_9","Chapter"
"Design and Research of Museum Matching Digital Applicationlication Based on Exhibition Content and User Demand","Design, User Experience, and Usability. Application Domains","","","","10.1007/978-3-030-23538-3_16","Dai LuoXiangcheng WeiLe Chang","2019","http://link.springer.com/chapter/10.1007/978-3-030-23538-3_16","Chapter"
"A meta-method for formal method integration","FME '97: Industrial Applications and Strengthened Foundations of Formal Methods","","","","10.1007/3-540-63533-5_25","Richard F. Paige","1997","http://link.springer.com/chapter/10.1007/3-540-63533-5_25","Chapter"
"Towards Method Engineering of Model-Driven User Interface Development","Task Models and Diagrams for User Interface Design","","","","10.1007/978-3-540-77222-4_10","Kênia SousaHildeberto MendonçaJean Vanderdonckt","2007","http://link.springer.com/chapter/10.1007/978-3-540-77222-4_10","Chapter"
"A theory of presentations","FME '94: Industrial Benefit of Formal Methods","","","","10.1007/3-540-58555-9_100","D. J. DukeM. D. Harrison","1994","http://link.springer.com/chapter/10.1007/3-540-58555-9_100","Chapter"
"A Formal Approach to Software Reusability","Incompleteness and Uncertainty in Information Systems","","","","10.1007/978-1-4471-3242-4_4","K. Periyasamy","1994","http://link.springer.com/chapter/10.1007/978-1-4471-3242-4_4","Chapter"
"Software Measurement: Why a Formal Approach?","Formal Aspects of Measurement","","","","10.1007/978-1-4471-3205-9_1","Norman Fenton","1992","http://link.springer.com/chapter/10.1007/978-1-4471-3205-9_1","Chapter"
"Applications of Structural Synthesis of Programs","FM’99 — Formal Methods","","","","10.1007/3-540-48119-2_31","Enn TyuguMihhail MatskinJaan Penjam","1999","http://link.springer.com/chapter/10.1007/3-540-48119-2_31","Chapter"
"A NUI Based Multiple Perspective Variability Modeling CASE Tool","Software Architecture","","","","10.1007/978-3-642-15114-9_55","R. Bashroush","2010","http://link.springer.com/chapter/10.1007/978-3-642-15114-9_55","Chapter"
"Software Support for User Interface Description Language","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23768-3_142","Adrien CoyetteDavid FaureJuan González-CallerosJean Vanderdonckt","2011","http://link.springer.com/chapter/10.1007/978-3-642-23768-3_142","Chapter"
"User Interface eXtensible Markup Language SIG","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23768-3_119","Gaëlle CalvaryOlivier de WasseigeDavid FaureJean Vanderdonckt","2011","http://link.springer.com/chapter/10.1007/978-3-642-23768-3_119","Chapter"
"Using a Multi-User Dialogue system to support software engineering distance education","Software Engineering Education","","","","10.1007/BFb0017642","William A. Bralick Jr.John S. Robinson","1994","http://link.springer.com/chapter/10.1007/BFb0017642","Chapter"
"Requirements Engineering Meets Physiotherapy: An Experience with Motion-Based Games","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-37422-7_23","Liliana PasqualePaola SpoletiniDario PomettoFrancesco BlasiTiziana Redaelli","2013","http://link.springer.com/chapter/10.1007/978-3-642-37422-7_23","Chapter"
"Research on Gesture Interaction Design for Home Control Intelligent Terminals","Human-Computer Interaction. Multimodal and Natural Interaction","","","","10.1007/978-3-030-49062-1_3","Bin JiangXuewei WangYue Wu","2020","http://link.springer.com/chapter/10.1007/978-3-030-49062-1_3","Chapter"
"Information Systems Planning - How to Enhance Creativity?","ENTERprise Information Systems","","","","10.1007/978-3-642-24355-4_40","Vitor SantosLuís AmaralHenrique Mamede","2011","http://link.springer.com/chapter/10.1007/978-3-642-24355-4_40","Chapter"
"Laws of Programming","Programming and Mathematical Method","","","","10.1007/978-3-642-77572-7_7","C. A. R. HoareI. J. HayesHe JifengC. C. MorganA. W. RoscoeJ. W. SandersI. H. SorensonJ. M. SpiveyB. A. Sufrin","1992","http://link.springer.com/chapter/10.1007/978-3-642-77572-7_7","Chapter"
"A Systematic Review of User-Centered Design Techniques","Design, User Experience, and Usability. Interaction Design","","","","10.1007/978-3-030-49713-2_18","Elizabeth SalinasRony CuevaFreddy Paz","2020","http://link.springer.com/chapter/10.1007/978-3-030-49713-2_18","Chapter"
"System-on-Chip Verification Process Using UML","UML Modeling Languages and Applications","","","","10.1007/978-3-540-31797-5_15","Qiang ZhuTsuneo NakataMasataka MineKenichiro KurokiYoichi EndoTakashi Hasegawa","2005","http://link.springer.com/chapter/10.1007/978-3-540-31797-5_15","Chapter"
"Incremental Learning-Based Testing for Reactive Systems","Tests and Proofs","","","","10.1007/978-3-642-21768-5_11","Karl MeinkeMuddassar A. Sindhu","2011","http://link.springer.com/chapter/10.1007/978-3-642-21768-5_11","Chapter"
